,sentence1,sentence2,similarity_score,aug1,aug2
173,Un bebé se está riendo.,Un bebé está riendo y riéndose.,0.8,Un bebé está soltando carcajadas.,Un infante está emitiendo sonidos de alegría y risas.
174,Un hombre está tocando una guitarra.,Un niño está tocando el piano.,0.2400000095367431,Un varón está tañendo una guitarra.,Un joven está ejecutando una pieza musical en el piano.
175,Un hombre está doblando papel.,Una mujer está cortando un pimiento.,0.1200000047683715,Un caballero está plegando papel.,Una mujer está preparando un pimiento con un cuchillo.
176,Tres mujeres están bailando.,El hombre está bailando.,0.3200000047683716,Tres damas se hallan bailando.,El hombre está moviéndose al ritmo de la música.
177,Los gatos están jugando entre ellos.,Dos gatos están peleando entre sí.,0.5199999809265137,Los felinos están jugando entre sí.,Dos felinos están enfrascados en un enfrentamiento.
178,Una persona está escribiendo.,Una persona está escribiendo con un lápiz.,0.7199999809265136,Un individuo está redactando.,Una persona está dejando marcas sobre un papel utilizando un lápiz.
179,Un hombre está corriendo.,Un hombre está corriendo por una carretera.,0.7,Un hombre está echando a correr.,Un individuo está desplazándose a gran velocidad por una vía pública.
180,La mujer está enrollando la masa.,Una mujer está floreciendo y enrollando la masa.,0.753000020980835,La dama se encuentra amasando la dough.,Una mujer está extendiendo y dando forma a la masa.
181,Una mujer está añadiendo especias a una carne.,La mujer está añadiendo azúcar a la carne.,0.55,Una fémina se halla agregando condimentos a una carne.,La mujer está endulzando la carne.
182,Una mujer está añadiendo aceite a los peces.,Una mujer está echando agua a los peces.,0.45,Una mujer se encuentra vertiendo aceite sobre los pescados.,Una mujer está proporcionando agua a los peces.
183,Un joven está sosteniendo una guitarra.,Un niño pequeño está tocando una guitarra.,0.55,Un muchacho se halla sosteniendo una guitarra.,Un niño pequeño está produciendo música con una guitarra.
184,Un guepardo está corriendo.,Un guepardo está corriendo por un campo.,0.7599999904632568,Un guepardo se encuentra corriendo velozmente.,Un guepardo está atravesando un campo a gran velocidad.
185,El hombre está comiendo pizza.,Un hombre está comiendo una rebanada de pizza.,0.9600000381469728,El varón se halla degustando una pizza.,Un hombre está consumiendo una porción de pizza.
186,Un orangután va en un autobús.,Un mono va en un autobús.,0.7199999809265136,Un orangután está viajando en un autobús.,Un mono está viajando en un autobús.
187,Un hombre y una mujer hablan en un restaurante.,Un hombre y una mujer van en bicicleta.,0.2400000095367431,Una pareja se encuentra conversando en un restaurante.,Un hombre y una mujer están montando en bicicleta.
188,Un hombre está tocando una guitarra.,Un hombre está limpiando una puerta de cristal.,0.0800000011920929,Un hombre se halla interpretando una guitarra.,Un hombre está higienizando una puerta de cristal.
189,Una chica está cantando y tocando la guitarra.,Un joven está cantando mientras toca la guitarra.,0.4800000190734863,Una joven se halla cantando y tocando la guitarra simultáneamente.,Un joven está entonando una canción mientras toca la guitarra.
190,Una chica se está comunicando con el lenguaje de signos.,Una joven está usando el lenguaje de signos.,0.7881999969482422,Una joven se está expresando mediante el lenguaje de señas.,Una joven está comunicándose con lenguaje de señas.
191,Una mujer está haciendo ejercicios de pesas.,Una mujer se está arreglando el pelo.,0.1,Una dama está realizando ejercicios con pesas.,Una mujer se está alistando para salir.
192,Un hombre se está metiendo en un coche.,Un anciano se está metiendo en un coche rojo.,0.75,Un varón se está introduciendo en un automóvil.,Un hombre mayor está entrando en un vehículo escarlata.
193,Una gran bola verde derriba una patata.,Una gran bola verde golpea una patata.,0.8,Una enorme esfera verde tira al suelo una papa.,Un objeto esférico de gran tamaño y color verde impacta contra un tubérculo.
194,Un gato está tocando el teclado.,Un gato está tocando el piano.,0.6,Un felino está pulsando el teclado.,Un felino doméstico está interpretando música en un teclado.
195,Dos perros nadan en una piscina.,Los perros están nadando en una piscina.,0.8399999618530274,Dos caninos se bañan en una piscina.,Los canes están nadando en una alberca.
196,El hombre usó un helicóptero para picar la cebolla.,El hombre usó una máquina para cortar una patata.,0.4,El individuo empleó un helicóptero para cortar la cebolla.,El individuo utilizó un dispositivo para rebanar un tubérculo.
197,Una mujer corta el tofu.,Una mujer está cortando tofu.,1.0,Una fémina está rebanando el tofu.,Una mujer está cortando un alimento a base de soya.
198,Una manada de ciervos está cruzando la calle.,Una manada de caribúes está cruzando una carretera.,0.6,Un grupo de venados está atravesando la vía.,Un grupo de caribúes están cruzando una vía pública.
199,La persona está montando el caballo.,Un hombre está montando a caballo.,0.7599999904632568,La persona está cabalgando el equino.,Un varón se encuentra a lomos de un equino.
200,Alguien está alimentando a un animal.,Alguien está tocando el piano.,0.0,Alguien está dando de comer a un ser vivo.,Se escuchan melodías de piano en el aire.
201,Alguien está cortando a Tortila.,Alguien está montando a caballo.,0.0,Alguien está partiendo a Tortila.,Alguien cabalga sobre un equino.
202,Alguien está mezclando los ingredientes.,Alguien está cosiendo cosas.,0.05,Alguien está combinando los componentes.,Un individuo está confeccionando prendas con aguja e hilo.
203,Un gallo picotea a un ratón muerto.,Una gallina está picoteando un ratón muerto.,0.8,Un gallo está picoteando a un ratón fallecido.,Una ave de corral está devorando un roedor sin vida.
204,Una mujer sostiene un canguro.,Una mujer está recogiendo un canguro.,0.65,Una mujer está sosteniendo un canguro.,Una dama está llevando en sus brazos a un marsupial australiano.
205,Un hombre está jugando con ranas,Un gato está jugando con una cámara.,0.15,Un hombre está divirtiéndose con ranas.,Un felino está interactuando con un dispositivo de captura de imágenes.
206,Dos hombres están hablando.,Dos hombres están tocando la guitarra.,0.3,Dos hombres están conversando.,Un dúo masculino está interpretando música con instrumentos de cuerdas.
207,Un hombre unta mantequilla en un gran pedazo de pan.,Un hombre está untando mantequilla en una rebanada de pan de ajo.,0.7,Un hombre está extendiendo mantequilla en un gran trozo de pan.,Un individuo está extendiendo una capa de grasa láctea sobre un trozo de pan aromatizado.
208,Un hombre está corriendo a través de un cable alto.,Un hombre está corriendo en la cuerda.,0.6,Un hombre está corriendo a lo largo de un cable elevado.,Un hombre realiza una actividad acrobática sobre una cuerda tensa.
209,Un hombre está cortando el césped.,Una mujer está cortando un limón.,0.0400000005960464,Un hombre está podando el césped.,Una fémina está dividiendo un cítrico en secciones.
210,Un hombre está abriendo una puerta.,Un hombre está tocando una guitarra.,0.1600000023841858,Un individuo se dispone a abrir una entrada.,Un hombre está ejecutando una melodía con su guitarra.
211,Un hombre está cortando una patata en trozos.,Un hombre está cortando una patata.,0.8399999618530274,Un caballero se encuentra cortando una papa en pedazos.,Un hombre está utilizando un cuchillo para dividir una patata.
212,La mujer está cortando pulpo cocido.,Una mujer está cortando pulpo.,0.7599999904632568,La dama se halla cortando pulpo cocinado.,Una mujer está troceando un cefalópodo.
213,Un hombre está golpeando a través de las tablas.,Un perro está corriendo a través del agua.,0.0800000011920929,Un varón está perforando a través de las maderas.,Un perro está desplazándose por el agua con sus patas.
214,Un hombre está bailando.,Un hombre está comiendo pan.,0.1600000023841858,Un hombre se está moviendo al ritmo de la música.,Un hombre está consumiendo un trozo de pan.
215,Alguien está tocando el piano.,Un hombre está tocando una guitarra.,0.2400000095367431,Alguien está interpretando una pieza en el piano.,Un hombre está ejecutando una melodía con su guitarra.
216,Dos zorros están comiendo de un plato en un patio de ladrillos.,Los zorros están comiendo de un plato.,0.5599999904632569,Dos zorros están degustando de un plato en un patio empedrado.,Los zorros están consumiendo comida de un recipiente.
217,Un niño está jugando con un teclado.,Un niño está tocando el piano.,0.6400000095367432,Un infante se divierte con un teclado.,Un niño está ejecutando una melodía con el piano.
218,Una persona toca el teclado.,Alguien está tocando un teclado.,1.0,Una persona está ejecutando melodías en el teclado.,Una persona está tocando las teclas de un teclado.
219,Un hombre está disparando un arma.,Un hombre está escupiendo.,0.0,Un hombre está efectuando un disparo con un arma.,Un hombre está expulsando saliva de su boca.
220,Alguien está cortando una cebolla.,Someoen está pelando una patata.,0.2,Alguien está partiendo una cebolla.,Alguien está quitando la piel de una papa.
221,Un hombre está nadando.,Una mujer está cortando carne.,0.0,Un varón está nadando en el agua.,Una mujer está troceando carne.
222,Un hombre está tocando la guitarra.,Un hombre toca una guitarra acústica.,0.75,Un hombre está interpretando la guitarra.,Un hombre está haciendo sonar una guitarra acústica.
223,Una mujer está cortando una calabaza.,Una mujer está montando un elefante.,0.0800000011920929,Una fémina está cortando un calabacín.,Una mujer está cabalando un elefante.
224,Una mujer está bailando.,Una mujer está amasando masa.,0.0800000011920929,Una mujer está danzando.,Una mujer está trabajando la masa con las manos.
225,Una mujer está rompiendo huevos en un tazón.,Una mujer está colocando pinchos en un estante.,0.1200000047683715,Una dama está quebrando huevos en un recipiente.,Una mujer está poniendo pinchos en una estantería.
226,Un coche se está moviendo a través de una carretera.,Un coche está conduciendo por la carretera.,0.8,Un automóvil se está desplazando por una vía.,Un vehículo está desplazándose por la carretera.
227,Alguien está engrasando una sartén.,Smeone se está acostando.,0.0800000011920929,Alguien está aceitando una sartén.,Alguien está yéndose a la cama.
228,Un hombre está tocando la guitarra.,Un hombre está escurriendo la pasta.,0.0800000011920929,Un caballero está tañendo la guitarra.,Un hombre está quitando el agua a la pasta.
229,Una mujer está bebiendo vodka.,Una mujer está haciendo ejercicio.,0.0800000011920929,Una señora está ingiriendo vodka.,Una mujer está haciendo entrenamiento físico.
230,Una mujer está cortando la carne en pedazos.,Una mujer está cortando algo de carne.,0.9600000381469728,Una dama está dividiendo la carne en trozos.,Una mujer está troceando carne.
231,Un hombre está enjuagando un filete.,Un hombre está tocando una guitarra.,0.1200000047683715,Un caballero está lavando un bistec.,Un hombre está ejecutando una melodía con su guitarra.
232,Un hombre está vendiendo artículos.,Un hombre está limpiando la casa.,0.1600000023841858,Un varón está comercializando productos.,Un hombre está haciendo una limpieza a fondo en su casa.
233,Un hombre está saltando un muro.,Un hombre salta a una pared corta.,0.6400000095367432,Un hombre está brincando una valla.,Un hombre realiza un salto ágil sobre una barrera baja.
234,Los corredores corren alrededor de una pista.,Los corredores compiten en una carrera.,0.6400000095367432,Los atletas están circundando una pista de carreras.,Los atletas compiten en una prueba de velocidad.
